@relation gestures

@attribute wMax numeric
@attribute wMin numeric
@attribute wMean numeric
@attribute wMed numeric
@attribute wVar numeric
@attribute wTVar numeric
@attribute wAUC numeric
@attribute rMax numeric
@attribute rMin numeric
@attribute rMean numeric
@attribute rMed numeric
@attribute rVar numeric
@attribute rTVar numeric
@attribute rAUC numeric
@attribute cMax numeric
@attribute cMin numeric
@attribute cMean numeric
@attribute cMed numeric
@attribute cVar numeric
@attribute cTVar numeric
@attribute cAUC numeric
@attribute label {notouch, constant, rub, pat, scratch, stroke,tickle}

@data
424,4,78.59259259,34,8248.112842,4653,8488,7.367346939,3.684210526,5.495395539,5.498447205,0.604962722,100.934284,593.5027182,8.72,2.806451613,5.743892334,5.561794872,1.249280415,129.8981095,620.340372,pat
385,12,92.25925926,34,10148.38075,4705,9964,6.923076923,3.05,5.691586664,5.875242907,0.442135313,73.3461301,614.6913597,7.846153846,3.564102564,6.069211102,6.149596072,0.797373029,111.6143831,655.474799,pat
350,10,79.57407407,34.5,8281.405677,5104,8594,6.958333333,3.421052632,5.639765112,5.86038961,0.488145171,85.6155756,609.0946321,8.705882353,2.967741935,5.657015549,5.679410047,1.145079022,139.0916872,610.9576793,pat
325,12,69.72222222,35.5,5203.697819,4024,7530,7.928571429,3.875,5.680368216,5.76249855,0.537268068,79.48939106,613.4797673,7.923076923,3.24137931,5.835850363,5.91969697,1.206725767,140.7798656,630.2718392,pat
445,119,227.3796296,225.5,3457.733039,4638,24557,6.342222222,5.168269231,5.837886123,5.850324675,0.045581347,20.89816093,630.4917012,5.575757576,4.159090909,4.817128367,4.824089558,0.094530349,33.5324271,520.2498637,rub
392,48,170.2777778,164,3093.249221,4186,18390,6.546666667,4.98013245,5.773936179,5.769444444,0.083548017,27.6165649,623.5851073,6.875,4.00625,5.134906418,5.127498822,0.291346939,41.31600817,554.5698932,rub
507,78,193.6388889,184,5248.606698,4786,20913,6.1,4.789473684,5.460973517,5.455884503,0.064240272,25.21752176,589.7851398,6.85915493,4.476510067,5.597630367,5.636558772,0.156590185,45.12634588,604.5440796,rub
426,56,190.6574074,177,4974.993683,4299,20591,6.341584158,5.191304348,5.753372316,5.750434492,0.045781459,21.28815582,621.3642101,6.447368421,4.342105263,5.510020167,5.517009951,0.140424065,38.88539383,595.082178,rub
665,10,175.5185185,118,28003.50433,7441,18956,7.04516129,3.833333333,5.704977489,5.798990749,0.603583301,57.05479831,616.1375688,7.666666667,2.411764706,5.797559054,5.913804945,0.764224222,94.84698942,626.1363779,scratch
889,10,409.4444444,445,51216.64174,8875,44220,6.75,4,5.548567039,5.551321167,0.267964494,31.68594768,599.2452403,7.5,2.421052632,5.541149579,5.566209944,0.328207715,41.22270841,598.4441545,scratch
859,11,299.712963,300.5,53457.75796,10161,32369,7.333333333,3.55,5.030841116,5.047031136,0.549598122,50.25222574,543.3308405,7.727272727,3.5,5.941429366,6.027110337,0.558231154,60.09012209,641.6743715,scratch
1336,11,271.7777778,182,95504.71651,9003,29352,7.1,3.742268041,5.180419072,5.260933806,0.678986482,53.3613402,559.4852597,8.363636364,4.32,6.022035694,6.02949428,0.461178475,77.05543451,650.3798549,scratch
